,client_id,birth_number,district_id
88,94,"""470909""",43
89,95,"""525803""",43
90,96,"""720229""",74
91,97,"""651128""",26
92,98,"""735504""",33
93,99,"""730126""",33
94,100,"""425811""",44
95,101,"""430123""",68
96,102,"""585910""",74
97,103,"""550711""",74
98,105,"""800526""",31
99,106,"""686230""",68
100,107,"""720623""",1
101,108,"""630913""",17
102,110,"""675413""",2
103,112,"""350125""",1
104,113,"""405815""",1
105,114,"""695624""",74
106,115,"""691224""",74
107,116,"""420128""",74
108,117,"""365920""",74
109,118,"""220719""",55
110,119,"""225228""",55
111,120,"""760510""",1
112,121,"""786029""",41
113,122,"""636113""",35
114,123,"""690212""",11
115,124,"""670921""",44
116,125,"""361031""",37
117,126,"""295927""",37
118,127,"""506227""",21
119,128,"""735404""",63
120,129,"""475531""",64
121,130,"""420214""",53
122,131,"""775131""",53
123,132,"""530126""",36
124,134,"""320118""",6
125,135,"""385910""",6
126,136,"""215126""",55
127,137,"""230914""",60
128,138,"""726021""",54
129,139,"""595725""",8
130,140,"""610606""",8
131,141,"""251102""",31
132,142,"""370621""",68
133,143,"""780709""",27
134,144,"""581206""",65
135,145,"""780214""",55
136,146,"""616219""",31
137,147,"""336102""",21
138,148,"""401225""",21
139,149,"""480627""",55
140,150,"""805927""",2
141,151,"""715923""",51
142,152,"""456202""",29
143,153,"""815212""",13
144,154,"""330827""",74
145,155,"""395313""",74
146,156,"""305722""",54
147,157,"""435709""",52
148,158,"""455703""",40
149,159,"""380910""",40
150,160,"""425426""",64
151,161,"""436007""",34
152,162,"""411017""",65
153,163,"""330612""",74
154,164,"""625404""",70
155,165,"""681108""",22
156,166,"""616022""",22
157,167,"""785418""",38
158,168,"""766105""",24
159,169,"""530912""",38
160,170,"""465616""",38
161,171,"""290625""",51
162,172,"""356005""",51
163,173,"""186208""",21
164,174,"""781110""",10
165,175,"""600713""",31
166,176,"""290311""",4
167,178,"""601222""",8
168,179,"""801229""",43
169,180,"""820119""",73
170,181,"""670706""",76
171,182,"""595713""",76
172,183,"""785319""",1
173,184,"""720605""",1
174,185,"""540530""",77
175,186,"""615222""",46
176,187,"""420823""",58
177,188,"""600902""",64
178,189,"""190810""",11
179,190,"""476031""",37
180,191,"""540903""",37
181,192,"""710228""",70
182,193,"""620501""",1
183,194,"""246220""",28
184,195,"""191118""",74
185,196,"""275625""",74
186,197,"""330425""",30
187,198,"""760714""",60
188,199,"""230621""",29
189,200,"""285113""",29
190,201,"""305819""",17
191,202,"""766121""",29
192,203,"""620610""",31
193,204,"""675617""",31
194,205,"""425615""",4
195,206,"""635413""",59
196,207,"""320520""",46
197,208,"""405625""",13
198,209,"""350820""",13
199,210,"""391130""",66
200,211,"""455628""",66
201,212,"""750210""",52
202,215,"""670924""",71
203,216,"""600130""",1
204,217,"""746222""",59
205,218,"""805123""",1
206,219,"""645402""",60
207,221,"""775225""",21
208,222,"""725629""",47
209,223,"""525227""",43
210,224,"""550511""",77
211,225,"""360510""",32
212,226,"""420616""",1
213,227,"""266218""",52
214,228,"""565316""",48
215,229,"""690722""",76
216,230,"""675310""",74
217,231,"""410218""",41
218,232,"""215617""",55
219,233,"""586203""",69
220,234,"""550621""",69
221,235,"""435828""",44
222,236,"""610901""",70
223,237,"""695222""",70
224,238,"""616128""",6
225,239,"""745910""",1
226,240,"""295617""",34
227,241,"""590123""",70
228,242,"""615801""",17
229,243,"""540210""",63
230,246,"""706228""",67
231,247,"""570508""",1
232,248,"""696212""",61
233,249,"""700505""",61
234,250,"""796125""",8
235,251,"""765303""",54
236,252,"""695901""",37
237,253,"""475512""",48
238,254,"""630530""",28
239,255,"""516011""",27
240,256,"""635227""",73
241,257,"""426104""",22
242,258,"""370531""",22
243,259,"""660608""",31
244,260,"""625224""",31
245,261,"""376207""",38
246,262,"""451125""",77
247,263,"""620520""",68
248,264,"""780822""",28
249,265,"""335107""",72
250,266,"""675828""",19
251,267,"""670612""",37
252,268,"""825502""",39
253,269,"""236203""",15
254,270,"""470308""",46
255,271,"""455727""",46
256,272,"""446025""",70
257,273,"""725515""",27
258,274,"""706125""",17
259,275,"""186112""",1
260,276,"""570611""",1
261,277,"""616128""",1
262,278,"""726227""",22
263,279,"""700516""",22
264,280,"""696218""",45
265,282,"""385224""",73
266,283,"""331104""",73
267,284,"""740806""",10
268,285,"""540603""",72
269,286,"""525418""",72
270,287,"""800909""",50
271,288,"""620421""",6
272,289,"""580327""",54
273,290,"""590112""",72
274,291,"""555427""",72
275,292,"""585906""",15
276,293,"""430927""",69
277,294,"""680321""",58
278,295,"""390327""",12
279,296,"""740301""",65
280,297,"""245315""",65
281,298,"""210613""",65
282,300,"""575730""",1
283,301,"""420110""",28
284,302,"""710223""",56
285,303,"""460506""",74
286,304,"""345311""",19
287,305,"""380608""",46
288,308,"""765612""",68
289,309,"""696214""",37
290,310,"""500416""",11
291,311,"""305916""",64
292,312,"""240703""",2
293,313,"""425511""",24
294,314,"""450322""",24
295,315,"""670501""",54
296,316,"""550428""",75
297,317,"""576006""",64
298,318,"""435402""",15
299,319,"""295404""",19
300,320,"""341112""",19
301,321,"""436024""",47
302,322,"""330201""",38
303,323,"""385404""",38
304,324,"""601203""",3
305,325,"""600221""",3
306,326,"""675918""",27
307,327,"""681013""",27
308,328,"""185124""",1
309,329,"""641203""",11
310,330,"""445805""",65
311,331,"""420302""",1
312,332,"""780725""",29
313,333,"""711019""",38
314,334,"""691031""",32
315,335,"""675722""",73
316,336,"""645211""",39
317,337,"""570508""",39
318,338,"""515619""",8
319,339,"""660730""",1
320,340,"""705819""",1
321,341,"""770316""",69
322,342,"""725630""",69
323,343,"""191119""",44
324,344,"""635716""",54
325,345,"""531207""",17
326,346,"""606102""",17
327,347,"""591213""",71
328,348,"""535124""",71
329,349,"""275527""",39
330,350,"""255402""",25
331,351,"""730501""",1
332,352,"""400827""",56
333,353,"""651026""",7
334,354,"""225427""",49
335,355,"""300531""",49
336,356,"""796207""",1
337,357,"""790330""",1
338,358,"""595626""",7
339,359,"""700216""",66
340,360,"""430427""",49
341,361,"""775525""",74
342,362,"""505427""",35
343,363,"""420701""",35
344,364,"""426205""",54
345,365,"""300109""",1
346,366,"""366110""",1
347,367,"""635903""",60
348,368,"""681014""",60
349,369,"""306106""",7
350,370,"""565105""",71
351,371,"""420716""",4
352,372,"""320403""",34
353,373,"""360228""",16
354,374,"""670614""",26
355,375,"""695929""",61
356,376,"""735108""",14
357,378,"""780515""",50
358,379,"""836013""",50
359,380,"""730119""",41
360,381,"""775126""",73
361,382,"""780630""",73
362,383,"""395517""",15
363,384,"""351008""",15
364,385,"""480324""",45
365,386,"""800821""",62
366,387,"""270606""",76
367,388,"""506030""",36
368,389,"""745630""",47
369,390,"""775127""",47
370,391,"""335522""",47
371,392,"""505401""",74
372,393,"""560831""",74
373,394,"""245518""",52
374,395,"""190705""",52
375,396,"""200502""",1
376,397,"""300327""",75
377,398,"""255326""",61
378,399,"""520414""",45
379,400,"""331227""",1
380,401,"""286119""",1
381,402,"""431225""",3
382,403,"""735526""",42
383,404,"""670420""",42
384,405,"""346019""",65
385,406,"""770515""",36
386,407,"""755527""",73
387,408,"""785222""",35
388,409,"""250618""",74
389,410,"""621220""",62
390,411,"""415414""",17
391,412,"""440417""",17
392,413,"""726118""",49
393,414,"""476019""",46
394,415,"""450401""",46
395,416,"""326007""",1
396,417,"""300610""",1
397,418,"""661013""",28
398,419,"""706007""",64
399,420,"""780313""",18
400,421,"""650731""",54
401,422,"""461207""",69
402,423,"""570623""",37
403,424,"""471008""",1
404,425,"""480212""",25
405,426,"""370601""",72
406,427,"""415914""",72
407,428,"""196116""",47
408,429,"""815120""",50
409,430,"""200728""",39
410,431,"""276001""",24
411,432,"""525326""",59
412,433,"""550207""",62
413,434,"""435130""",70
414,435,"""671023""",20
415,436,"""550615""",2
416,437,"""205117""",11
417,438,"""380928""",32
418,439,"""685912""",51
419,440,"""705707""",15
420,441,"""590914""",1
421,442,"""716216""",1
422,443,"""711220""",1
423,444,"""605801""",74
424,445,"""475427""",1
425,446,"""520319""",1
426,447,"""460904""",23
427,448,"""705815""",77
428,450,"""531127""",25
429,451,"""790414""",12
430,452,"""536022""",55
431,453,"""690716""",67
432,454,"""495615""",38
433,455,"""200726""",68
434,456,"""400228""",25
435,457,"""500926""",70
436,458,"""610724""",68
437,459,"""675723""",32
438,461,"""705813""",68
439,462,"""701221""",14
440,463,"""440405""",38
441,464,"""595730""",24
442,465,"""520901""",5
443,466,"""476119""",1
444,467,"""500417""",1
445,468,"""590427""",72
446,469,"""706013""",59
447,470,"""545421""",30
448,471,"""770111""",44
449,472,"""811227""",36
450,473,"""395925""",1
451,474,"""490531""",46
452,476,"""475601""",1
453,477,"""540720""",1
454,478,"""780621""",21
455,479,"""470820""",11
456,480,"""465124""",11
457,481,"""270122""",69
458,482,"""345122""",69
459,483,"""440619""",1
460,484,"""595913""",28
461,485,"""780516""",32
462,486,"""440412""",68
463,487,"""225401""",1
464,488,"""170802""",1
465,489,"""401007""",41
466,490,"""501023""",55
467,491,"""660805""",63
468,492,"""351026""",72
469,493,"""425604""",41
470,494,"""800519""",1
471,495,"""375407""",49
472,496,"""515521""",70
473,497,"""530202""",74
474,498,"""485115""",74
475,499,"""355708""",18
476,500,"""710106""",1
477,501,"""371028""",62
478,502,"""191208""",6
479,503,"""590724""",73
480,504,"""790801""",36
481,505,"""771221""",13
482,506,"""460816""",75
483,507,"""541116""",75
484,508,"""710428""",53
485,509,"""800502""",73
486,510,"""760415""",12
487,511,"""590218""",9
488,512,"""655803""",60
489,513,"""745111""",8
490,514,"""681115""",8
491,515,"""320526""",1
492,516,"""305427""",1
493,517,"""650725""",63
494,518,"""795428""",54
495,519,"""800413""",18
496,520,"""475927""",46
497,521,"""751225""",69
498,522,"""565304""",1
499,523,"""221217""",38
500,524,"""635102""",30
501,525,"""690814""",30
502,526,"""640201""",43
503,527,"""665818""",43
504,528,"""770211""",37
505,529,"""781105""",69
506,530,"""575927""",29
507,531,"""761004""",27
508,532,"""805903""",27
509,533,"""415519""",54
510,534,"""570722""",74
511,535,"""370909""",26
512,536,"""390825""",47
513,537,"""350116""",1
514,538,"""485510""",5
515,540,"""210728""",19
516,541,"""275309""",19
517,542,"""215209""",59
518,543,"""585415""",11
519,544,"""481116""",63
520,545,"""736011""",75
521,546,"""530825""",7
522,547,"""490331""",54
523,548,"""371204""",49
524,550,"""611130""",7
525,551,"""765705""",47
526,552,"""345508""",1
527,553,"""410407""",1
528,554,"""255419""",30
529,555,"""261021""",30
530,556,"""460708""",29
531,557,"""390717""",51
532,558,"""205705""",43
533,559,"""725905""",32
534,560,"""676216""",71
535,561,"""626110""",74
536,562,"""755922""",49
537,563,"""615909""",72
538,564,"""550124""",72
539,565,"""595703""",64
540,566,"""465305""",47
541,567,"""500502""",47
542,568,"""605719""",8
543,569,"""620615""",73
544,570,"""415131""",61
545,571,"""240927""",3
546,572,"""205804""",3
547,573,"""670810""",69
548,574,"""721225""",1
549,575,"""700404""",58
550,576,"""745512""",58
551,577,"""636205""",1
552,578,"""775707""",23
553,579,"""335531""",72
554,581,"""495204""",70
555,582,"""500926""",1
556,583,"""655101""",75
557,584,"""765513""",33
558,585,"""425221""",40
559,586,"""471103""",40
560,587,"""455708""",25
561,588,"""606020""",61
562,589,"""610917""",45
563,590,"""490215""",44
564,591,"""746029""",65
565,592,"""650718""",26
566,593,"""545710""",60
567,596,"""481024""",69
568,597,"""430222""",55
569,598,"""701231""",1
570,599,"""775518""",1
571,601,"""660312""",56
572,602,"""655116""",56
573,603,"""665309""",13
574,604,"""655731""",1
575,605,"""705827""",1
576,606,"""495125""",10
577,607,"""640330""",64
578,608,"""720831""",67
579,609,"""620902""",52
580,610,"""795810""",74
581,611,"""521013""",36
582,612,"""606110""",36
583,613,"""775810""",1
584,614,"""475203""",14
585,615,"""495913""",68
586,616,"""750101""",58
587,617,"""740314""",70
588,618,"""325316""",57
589,619,"""200907""",6
590,620,"""185213""",6
591,621,"""390317""",54
592,622,"""316123""",74
593,623,"""250904""",24
594,624,"""325726""",24
595,625,"""786124""",60
596,626,"""800413""",9
597,627,"""720411""",17
598,628,"""705527""",17
599,629,"""760310""",16
600,630,"""520303""",61
601,631,"""565322""",70
602,632,"""460316""",67
603,633,"""385612""",67
604,635,"""275629""",17
605,636,"""350217""",17
606,637,"""706215""",39
607,638,"""615203""",54
608,639,"""780802""",31
609,640,"""790415""",26
610,641,"""625704""",40
611,642,"""631025""",40
612,643,"""495613""",1
613,644,"""615423""",35
614,645,"""251221""",14
615,646,"""225929""",34
616,647,"""290406""",34
617,648,"""355928""",70
618,649,"""785502""",13
619,651,"""765127""",54
620,652,"""381208""",61
621,653,"""306121""",1
622,654,"""425517""",64
623,655,"""421210""",32
624,656,"""560606""",1
625,657,"""265710""",8
626,658,"""261221""",8
627,659,"""651207""",24
628,660,"""230322""",16
629,661,"""195115""",16
630,662,"""450807""",5
631,663,"""230120""",24
632,664,"""805319""",77
633,665,"""325405""",62
634,666,"""820523""",26
635,667,"""815720""",26
636,668,"""426225""",1
637,669,"""566219""",12
638,670,"""590121""",1
639,671,"""715227""",10
640,672,"""296109""",46
641,673,"""391029""",36
642,674,"""275111""",11
643,675,"""751112""",50
644,676,"""530207""",70
645,677,"""630524""",5
646,678,"""335528""",39
647,679,"""400319""",8
648,680,"""405509""",8
649,681,"""770115""",15
650,682,"""791021""",18
651,683,"""455829""",76
652,684,"""765410""",3
653,685,"""306213""",72
654,686,"""716003""",32
655,687,"""750128""",32
656,688,"""540504""",1
657,689,"""640802""",70
658,690,"""421107""",38
659,691,"""445113""",38
660,692,"""365111""",74
661,693,"""350317""",74
662,694,"""360228""",29
663,695,"""550627""",28
664,696,"""526201""",28
665,697,"""740501""",1
666,698,"""540227""",75
667,699,"""225422""",26
668,700,"""291120""",12
669,702,"""686107""",31
670,703,"""590426""",4
671,704,"""750501""",54
672,705,"""381210""",19
673,706,"""480805""",1
674,707,"""411214""",1
675,708,"""776127""",50
676,709,"""341229""",1
677,710,"""251128""",23
678,711,"""635816""",48
679,712,"""621204""",54
680,713,"""805329""",20
681,714,"""701008""",31
682,715,"""525115""",1
683,716,"""546204""",1
684,717,"""680502""",54
685,718,"""605228""",54
686,719,"""740809""",46
687,720,"""540906""",29
688,721,"""400215""",43
689,722,"""706125""",62
690,723,"""575726""",12
691,724,"""535202""",65
692,725,"""561211""",75
693,726,"""350213""",16
694,727,"""305720""",32
695,728,"""320120""",32
696,729,"""695317""",63
697,730,"""730814""",63
698,731,"""795122""",74
699,732,"""780705""",74
700,733,"""780728""",46
701,734,"""855114""",46
702,735,"""731126""",1
703,736,"""775426""",1
704,737,"""521104""",74
705,738,"""200326""",25
706,739,"""420416""",72
707,740,"""231107""",55
708,741,"""410709""",74
709,742,"""516015""",1
710,743,"""410217""",1
711,744,"""400718""",26
712,745,"""665214""",52
713,746,"""620416""",52
714,747,"""535820""",24
715,748,"""361015""",25
716,749,"""335729""",25
717,750,"""565929""",70
718,751,"""590309""",70
719,752,"""441220""",72
720,753,"""405924""",72
721,754,"""475604""",63
722,755,"""471121""",72
723,756,"""200513""",31
724,757,"""706220""",71
725,758,"""615726""",68
726,759,"""550520""",29
727,760,"""365825""",57
728,762,"""370420""",21
729,763,"""275824""",75
730,764,"""556013""",49
731,765,"""691231""",65
732,766,"""265703""",1
733,767,"""230616""",1
734,768,"""315923""",32
735,769,"""771215""",40
736,772,"""441210""",64
737,773,"""351030""",4
738,774,"""730303""",70
739,775,"""406130""",51
740,776,"""535503""",1
741,777,"""610520""",1
742,778,"""400604""",13
743,779,"""445612""",69
744,780,"""240226""",3
745,781,"""450920""",72
746,782,"""635318""",5
747,783,"""715325""",27
748,784,"""641228""",27
749,785,"""340909""",63
750,786,"""780906""",53
751,787,"""471208""",3
752,788,"""740903""",47
753,789,"""310921""",4
754,790,"""675509""",63
755,791,"""505929""",68
756,793,"""780204""",21
757,794,"""795716""",21
758,796,"""190830""",1
759,797,"""480127""",8
760,798,"""405212""",27
761,799,"""360219""",27
762,803,"""510215""",35
763,804,"""565123""",35
764,806,"""800422""",60
765,807,"""696021""",53
766,808,"""631128""",31
767,809,"""191015""",49
768,810,"""455924""",58
769,811,"""400528""",58
770,812,"""401206""",39
771,813,"""640129""",70
772,814,"""591001""",19
773,815,"""646027""",22
774,816,"""585201""",17
775,818,"""660427""",54
776,819,"""580708""",74
777,820,"""606106""",74
778,821,"""480512""",49
779,822,"""595508""",37
780,823,"""561024""",41
781,824,"""520905""",27
782,825,"""770402""",74
783,826,"""780123""",1
784,827,"""655904""",10
785,828,"""581210""",10
786,829,"""570519""",24
787,830,"""480827""",69
788,831,"""480502""",2
789,832,"""236223""",67
790,833,"""600611""",5
791,834,"""221217""",54
792,835,"""436020""",28
793,836,"""480614""",28
794,837,"""741014""",71
795,838,"""685204""",71
796,839,"""555518""",47
797,840,"""370426""",20
798,841,"""810210""",69
799,842,"""335703""",12
800,843,"""575903""",54
801,844,"""450114""",22
802,845,"""535130""",22
803,846,"""491201""",35
804,847,"""791225""",49
805,849,"""395606""",26
806,850,"""690921""",19
807,851,"""190616""",25
808,852,"""165604""",25
809,853,"""490602""",70
810,854,"""416102""",72
811,855,"""300128""",58
812,856,"""190122""",23
813,857,"""480221""",32
814,858,"""595329""",47
815,859,"""685729""",1
816,860,"""671208""",1
817,861,"""565913""",1
818,862,"""520105""",30
819,863,"""686129""",54
820,864,"""530327""",11
821,865,"""466103""",11
822,866,"""756124""",38
823,870,"""570506""",70
824,871,"""740311""",76
825,872,"""630222""",35
826,873,"""440105""",60
827,874,"""525905""",14
828,875,"""561207""",14
829,876,"""601125""",1
830,877,"""275121""",5
831,878,"""200417""",5
832,879,"""436208""",38
833,880,"""600217""",49
834,881,"""755222""",5
835,882,"""335909""",70
836,883,"""205106""",75
837,884,"""181014""",75
838,885,"""230208""",34
839,886,"""480202""",34
840,887,"""736128""",66
841,888,"""731026""",28
842,889,"""816024""",54
843,890,"""190330""",77
844,891,"""310131""",33
845,892,"""225524""",42
846,893,"""356023""",43
847,894,"""340818""",75
848,895,"""700703""",39
849,896,"""735424""",36
850,897,"""810325""",36
851,898,"""435427""",38
852,899,"""440213""",38
853,900,"""770410""",73
854,901,"""191221""",39
855,902,"""500815""",23
856,903,"""340306""",31
857,904,"""320208""",1
858,905,"""401023""",38
859,906,"""780616""",65
860,907,"""480311""",51
861,908,"""615307""",51
862,909,"""750907""",23
863,910,"""610927""",1
864,911,"""391128""",43
865,912,"""201029""",76
866,913,"""381118""",1
867,914,"""215119""",1
868,915,"""750503""",12
869,916,"""580629""",3
870,917,"""735916""",25
871,918,"""641223""",26
872,921,"""545213""",7
873,922,"""725816""",22
874,923,"""780822""",22
875,924,"""530712""",1
876,925,"""590813""",54
877,926,"""810122""",1
878,927,"""741026""",1
879,928,"""516010""",66
880,929,"""350423""",30
881,930,"""595825""",68
882,931,"""680607""",16
883,932,"""470927""",3
884,933,"""785311""",33
885,934,"""820819""",33
886,935,"""465517""",42
887,936,"""430730""",42
888,937,"""311114""",1
889,938,"""445807""",59
890,939,"""520803""",21
891,940,"""600811""",53
892,941,"""351005""",10
893,942,"""315902""",12
894,943,"""360926""",12
895,944,"""701218""",39
896,945,"""775110""",39
897,946,"""510806""",54
898,948,"""240422""",49
899,949,"""760727""",3
900,950,"""655412""",76
901,951,"""600917""",76
902,952,"""515501""",63
903,953,"""371017""",25
904,954,"""426020""",1
905,955,"""700128""",57
906,956,"""661021""",1
907,957,"""416223""",56
908,958,"""420504""",56
909,959,"""625912""",11
910,960,"""575413""",16
911,961,"""316004""",15
912,962,"""660219""",19
913,963,"""666217""",64
914,964,"""536021""",10
915,965,"""726201""",13
916,966,"""780902""",13
917,967,"""790620""",76
918,968,"""570217""",69
919,970,"""570329""",36
920,971,"""195101""",46
921,972,"""170506""",46
922,973,"""706006""",14
923,974,"""630624""",14
924,975,"""595712""",1
925,976,"""556119""",16
926,977,"""265510""",76
927,978,"""685609""",56
928,979,"""661118""",56
929,980,"""610930""",40
930,981,"""600628""",5
931,984,"""490703""",20
932,985,"""475113""",20
933,986,"""550516""",74
934,987,"""520520""",60
935,988,"""396001""",40
936,989,"""330815""",40
937,990,"""611224""",71
938,991,"""410627""",32
939,992,"""480521""",19
940,993,"""696031""",44
941,994,"""710427""",36
942,995,"""736030""",36
943,996,"""805626""",1
944,997,"""501111""",59
945,998,"""535628""",59
946,999,"""665901""",74
947,1000,"""611027""",74
948,1001,"""470414""",44
949,1002,"""445308""",42
950,1003,"""376031""",31
951,1004,"""570925""",3
952,1006,"""425628""",46
953,1007,"""380105""",46
954,1008,"""560706""",6
955,1009,"""625427""",33
956,1010,"""550816""",33
957,1011,"""390713""",16
958,1012,"""665213""",70
959,1013,"""730312""",70
960,1014,"""310208""",1
961,1015,"""340313""",62
962,1016,"""405721""",62
963,1017,"""435212""",6
964,1018,"""450228""",53
965,1019,"""466222""",14
966,1020,"""775510""",72
967,1021,"""770805""",2
968,1022,"""400723""",31
969,1023,"""381228""",1
970,1024,"""560329""",25
971,1025,"""640708""",15
972,1026,"""790812""",57
973,1027,"""406104""",1
974,1028,"""341002""",1
975,1029,"""545316""",1
976,1030,"""471011""",1
977,1031,"""686211""",2
978,1032,"""386030""",1
979,1033,"""371014""",1
980,1034,"""746111""",52
981,1035,"""715328""",13
982,1036,"""761206""",13
983,1037,"""656101""",1
984,1038,"""615923""",69
985,1039,"""806011""",70
986,1040,"""600617""",1
987,1041,"""610705""",72
988,1042,"""665925""",17
989,1043,"""631116""",17
990,1044,"""715913""",9
991,1045,"""476224""",60
992,1046,"""750824""",1
993,1047,"""635711""",16
994,1048,"""746003""",70
995,1049,"""421111""",1
996,1050,"""715701""",27
997,1051,"""715826""",73
998,1052,"""640311""",56
999,1053,"""585603""",56
1000,1054,"""240820""",63
1001,1055,"""190517""",4
1002,1056,"""630619""",1
1003,1057,"""390221""",52
1004,1058,"""755801""",9
1005,1059,"""600603""",26
1006,1060,"""576217""",26
1007,1062,"""750108""",16
1008,1063,"""765612""",16
1009,1064,"""515203""",1
1010,1065,"""571126""",2
1011,1066,"""401018""",1
1012,1067,"""520514""",1
1013,1068,"""266020""",13
1014,1069,"""385221""",54
1015,1070,"""381202""",54
1016,1071,"""250125""",43
1017,1072,"""666208""",60
1018,1073,"""240410""",34
1019,1074,"""285825""",34
1020,1075,"""345604""",65
1021,1076,"""795511""",53
1022,1077,"""200623""",46
1023,1078,"""786215""",24
1024,1079,"""610715""",3
1025,1080,"""506006""",54
1026,1081,"""701216""",71
1027,1082,"""670223""",9
1028,1083,"""371215""",48
1029,1084,"""445409""",48
1030,1085,"""326219""",60
1031,1086,"""730504""",74
1032,1087,"""785730""",74
1033,1088,"""695823""",47
1034,1089,"""391209""",1
1035,1090,"""395620""",35
1036,1091,"""405627""",59
1037,1092,"""625720""",41
1038,1093,"""765728""",62
1039,1094,"""606004""",30
1040,1095,"""540216""",30
1041,1096,"""265303""",1
1042,1097,"""300902""",1
1043,1098,"""485910""",60
1044,1099,"""796121""",65
1045,1100,"""510704""",59
1046,1101,"""460622""",74
1047,1102,"""350129""",72
1048,1103,"""510818""",1
1049,1104,"""555209""",1
1050,1105,"""420103""",56
1051,1106,"""405225""",56
1052,1107,"""610426""",60
1053,1108,"""556222""",62
1054,1109,"""315901""",58
1055,1110,"""285324""",10
1056,1111,"""790604""",61
1057,1112,"""305725""",13
1058,1113,"""760820""",11
1059,1114,"""800618""",59
1060,1115,"""205824""",36
1061,1116,"""735419""",69
1062,1117,"""766101""",20
1063,1118,"""691103""",20
1064,1119,"""805105""",54
1065,1120,"""736021""",41
1066,1121,"""390302""",59
1067,1122,"""210218""",20
1068,1123,"""225826""",20
1069,1124,"""280412""",21
1070,1125,"""345330""",9
1071,1126,"""351023""",9
1072,1127,"""741112""",23
1073,1128,"""300716""",7
1074,1129,"""310924""",43
1075,1130,"""406126""",70
1076,1131,"""476028""",55
1077,1132,"""480321""",55
1078,1133,"""585915""",37
1079,1134,"""591001""",37
1080,1135,"""520721""",8
1081,1136,"""765918""",9
1082,1137,"""775305""",1
1083,1138,"""705930""",70
1084,1139,"""730922""",70
1085,1140,"""460224""",18
1086,1141,"""415422""",21
1087,1142,"""466119""",59
1088,1143,"""460515""",59
1089,1145,"""685914""",58
1090,1146,"""651114""",54
1091,1147,"""300512""",3
1092,1148,"""410515""",41
1093,1149,"""765925""",14
1094,1150,"""455624""",74
1095,1151,"""730306""",59
1096,1152,"""810312""",74
1097,1153,"""806115""",70
1098,1154,"""240131""",72
1099,1155,"""225710""",72
1100,1156,"""336111""",1
1101,1157,"""586230""",4
1102,1158,"""545821""",1
1103,1159,"""440203""",64
1104,1160,"""385728""",64
1105,1161,"""730525""",7
1106,1162,"""755219""",26
1107,1163,"""640828""",20
1108,1164,"""595914""",15
1109,1165,"""426002""",15
1110,1166,"""590627""",74
1111,1167,"""545317""",74
1112,1168,"""780531""",19
1113,1169,"""415124""",18
1114,1170,"""770428""",12
1115,1171,"""745328""",46
1116,1172,"""235613""",54
1117,1173,"""220602""",54
1118,1174,"""705313""",29
1119,1175,"""251025""",1
1120,1176,"""185831""",1
1121,1177,"""395621""",77
1122,1178,"""716004""",1
1123,1179,"""306005""",1
1124,1180,"""441006""",21
1125,1181,"""391112""",1
1126,1182,"""466016""",66
1127,1183,"""421129""",54
1128,1186,"""475805""",2
1129,1187,"""615906""",32
1130,1188,"""680919""",32
1131,1189,"""325215""",74
1132,1190,"""765412""",15
1133,1191,"""770602""",15
1134,1192,"""255101""",10
1135,1193,"""260129""",19
1136,1194,"""395614""",17
